sub,lang,layer,mean_r,top10_r,pos_frac
sub-EN057,EN,L01,0.0081,0.0312,0.523
sub-EN057,EN,L05,0.0142,0.0398,0.548
sub-EN057,EN,L09,0.0289,0.0541,0.601
sub-EN057,EN,L13,0.0412,0.0721,0.638
sub-EN057,EN,L17,0.0521,0.0934,0.671
sub-EN057,EN,L21,0.0489,0.0872,0.659
sub-EN057,EN,L25,0.0401,0.0743,0.634
sub-EN057,EN,L28,0.0318,0.0612,0.612
sub-EN058,EN,L01,0.0094,0.0341,0.531
sub-EN058,EN,L05,0.0168,0.0421,0.557
sub-EN058,EN,L09,0.0311,0.0574,0.614
sub-EN058,EN,L13,0.0438,0.0748,0.645
sub-EN058,EN,L17,0.0549,0.0961,0.678
sub-EN058,EN,L21,0.0512,0.0893,0.664
sub-EN058,EN,L25,0.0421,0.0762,0.641
sub-EN058,EN,L28,0.0334,0.0631,0.619
sub-EN059,EN,L01,0.0076,0.0298,0.518
sub-EN059,EN,L05,0.0131,0.0374,0.541
sub-EN059,EN,L09,0.0271,0.0518,0.592
sub-EN059,EN,L13,0.0389,0.0694,0.628
sub-EN059,EN,L17,0.0494,0.0908,0.662
sub-EN059,EN,L21,0.0461,0.0841,0.649
sub-EN059,EN,L25,0.0378,0.0719,0.625
sub-EN059,EN,L28,0.0298,0.0589,0.603
sub-EN061,EN,L01,0.0062,0.0271,0.506
sub-EN061,EN,L05,0.0114,0.0348,0.528
sub-EN061,EN,L09,0.0241,0.0491,0.578
sub-EN061,EN,L13,0.0354,0.0658,0.612
sub-EN061,EN,L17,0.0448,0.0872,0.645
sub-EN061,EN,L21,0.0419,0.0804,0.633
sub-EN061,EN,L25,0.0341,0.0682,0.608
sub-EN061,EN,L28,0.0268,0.0558,0.586
sub-EN062,EN,L01,0.0048,0.0241,0.494
sub-EN062,EN,L05,0.0089,0.0312,0.512
sub-EN062,EN,L09,0.0198,0.0441,0.558
sub-EN062,EN,L13,0.0298,0.0594,0.591
sub-EN062,EN,L17,0.0384,0.0798,0.624
sub-EN062,EN,L21,0.0356,0.0731,0.612
