sub,lang,layer,mean_r,top10_r,pos_frac
sub-EN057,EN,L01,0.0094,0.0341,0.531
sub-EN057,EN,L05,0.0172,0.0431,0.558
sub-EN057,EN,L09,0.0321,0.0581,0.612
sub-EN057,EN,L13,0.0458,0.0768,0.648
sub-EN057,EN,L17,0.0584,0.0998,0.684
sub-EN057,EN,L21,0.0549,0.0931,0.671
sub-EN057,EN,L25,0.0452,0.0812,0.647
sub-EN057,EN,L28,0.0361,0.0672,0.624
sub-EN058,EN,L01,0.0108,0.0368,0.539
sub-EN058,EN,L05,0.0194,0.0458,0.564
sub-EN058,EN,L09,0.0344,0.0607,0.625
sub-EN058,EN,L13,0.0481,0.0794,0.661
sub-EN058,EN,L17,0.0612,0.1024,0.697
sub-EN058,EN,L21,0.0574,0.0957,0.684
sub-EN058,EN,L25,0.0473,0.0838,0.660
sub-EN058,EN,L28,0.0378,0.0698,0.637
sub-EN059,EN,L01,0.0088,0.0324,0.524
sub-EN059,EN,L05,0.0161,0.0408,0.549
sub-EN059,EN,L09,0.0304,0.0562,0.601
sub-EN059,EN,L13,0.0434,0.0742,0.636
sub-EN059,EN,L17,0.0554,0.0971,0.671
sub-EN059,EN,L21,0.0519,0.0904,0.658
sub-EN059,EN,L25,0.0428,0.0788,0.634
sub-EN059,EN,L28,0.0341,0.0649,0.611
sub-EN061,EN,L01,0.0074,0.0298,0.511
sub-EN061,EN,L05,0.0138,0.0381,0.535
sub-EN061,EN,L09,0.0268,0.0531,0.585
sub-EN061,EN,L13,0.0394,0.0712,0.619
sub-EN061,EN,L17,0.0504,0.0943,0.653
sub-EN061,EN,L21,0.0472,0.0876,0.641
sub-EN061,EN,L25,0.0388,0.0758,0.617
sub-EN061,EN,L28,0.0307,0.0618,0.594
sub-EN062,EN,L01,0.0059,0.0264,0.499
sub-EN062,EN,L05,0.0108,0.0344,0.521
sub-EN062,EN,L09,0.0228,0.0481,0.564
sub-EN062,EN,L13,0.0338,0.0648,0.597
sub-EN062,EN,L17,0.0434,0.0861,0.631
sub-EN062,EN,L21,0.0407,0.0797,0.618
sub-EN062,EN,L25,0.0334,0.0678,0.594
sub-EN062,EN,L28,0.0261,0.0541,0.572
sub-FR001,FR,L01,0.0058,0.0241,0.497
sub-FR001,FR,L05,0.0106,0.0321,0.519
sub-FR001,FR,L09,0.0214,0.0448,0.552
sub-FR001,FR,L13,0.0314,0.0588,0.583
sub-FR001,FR,L17,0.0404,0.0754,0.614
sub-FR001,FR,L21,0.0378,0.0704,0.602
sub-FR001,FR,L25,0.0311,0.0601,0.578
sub-FR001,FR,L28,0.0244,0.0484,0.556
sub-FR002,FR,L01,0.0054,0.0224,0.491
sub-FR002,FR,L05,0.0099,0.0304,0.513
sub-FR002,FR,L09,0.0201,0.0428,0.545
sub-FR002,FR,L13,0.0294,0.0568,0.575
sub-FR002,FR,L17,0.0378,0.0731,0.605
sub-FR002,FR,L21,0.0354,0.0681,0.593
sub-FR002,FR,L25,0.0291,0.0579,0.569
sub-FR002,FR,L28,0.0228,0.0464,0.548
sub-FR003,FR,L01,0.0049,0.0208,0.485
sub-FR003,FR,L05,0.0091,0.0284,0.507
sub-FR003,FR,L09,0.0186,0.0408,0.538
sub-FR003,FR,L13,0.0274,0.0548,0.567
sub-FR003,FR,L17,0.0351,0.0708,0.597
sub-FR003,FR,L21,0.0329,0.0659,0.584
sub-FR003,FR,L25,0.0271,0.0558,0.561
sub-FR003,FR,L28,0.0211,0.0444,0.539
sub-FR004,FR,L01,0.0044,0.0196,0.479
sub-FR004,FR,L05,0.0083,0.0268,0.501
sub-FR004,FR,L09,0.0171,0.0391,0.532
sub-FR004,FR,L13,0.0254,0.0528,0.561
sub-FR004,FR,L17,0.0326,0.0684,0.590
sub-FR004,FR,L21,0.0304,0.0636,0.578
sub-FR004,FR,L25,0.0251,0.0538,0.554
sub-FR004,FR,L28,0.0194,0.0428,0.532
sub-FR005,FR,L01,0.0039,0.0184,0.473
sub-FR005,FR,L05,0.0073,0.0252,0.494
sub-FR005,FR,L09,0.0156,0.0373,0.525
sub-FR005,FR,L13,0.0231,0.0509,0.554
sub-FR005,FR,L17,0.0298,0.0661,0.583
sub-FR005,FR,L21,0.0278,0.0614,0.571
sub-FR005,FR,L25,0.0229,0.0519,0.548
sub-FR005,FR,L28,0.0177,0.0411,0.526
sub-CN001,CN,L01,0.0071,0.0278,0.508
sub-CN001,CN,L05,0.0131,0.0371,0.532
sub-CN001,CN,L09,0.0264,0.0512,0.566
sub-CN001,CN,L13,0.0388,0.0678,0.598
sub-CN001,CN,L17,0.0498,0.0874,0.631
sub-CN001,CN,L21,0.0467,0.0818,0.619
sub-CN001,CN,L25,0.0384,0.0699,0.595
sub-CN001,CN,L28,0.0301,0.0562,0.572
sub-CN002,CN,L01,0.0089,0.0321,0.519
sub-CN002,CN,L05,0.0161,0.0418,0.544
sub-CN002,CN,L09,0.0314,0.0568,0.578
sub-CN002,CN,L13,0.0454,0.0748,0.611
